G,PG,PG-13,R
,,38624000,10460089
,,35794166,10814185
,,33583175,134821952
,,33000000,94900000
,,31487293,113709992
,,28563926,25625110
,,28435406,20257000
,,25339117,15818967
,,25600000,14891000
,,24397469,16901126
,,25464480,17474107
,,20338609,14003141
,,17378977,12583510
,,21371425,9190525
,,16033556,9094451
,,16667084,9166863
,,21589307,8373585
,,11703287,7292175
,,11560259,2344847
,,14479776,7455447
,,67631157,2062066
,,7563670,1654367
,,21569041,1110286
,,5484375,1768416
,,3333823,1425993
,,26583369,382946
,,1754319,236266
,,82739,453079
,,19348,46451
,,92900,41400000
,,5561,7993039
,,14114488,49526
,,113155,10696
,,24530513,84263837
,,20035310,57504069
,,11827301,16842303
,,4350774,13367101
,,2955039,1029017
,,21564616,66637
,,13569248,2122561
,,34017854,119078393
,,4273372,54800000
,,6262942,39800000
,,40066497,27457409
,,27362712,25047631
,,25926543,23272306
,,17843379,26236603
,,17536788,14545844
,,58401464,12793213
,,4692814,11797927
,,6350058,8596914
,,532190,6851636
,,127144,5895238
,,4131640,4693919
,,533344,4859475
,,336530303,4542775
,,12610552,3588432
,,143492840,3029081
,,32391374,2025238
,,32131483,1028337
,,37295394,2077046
,,9176553,115862
,,14612840,117560
,,5694308,36497
,,306715,65804
,,532988,31874869
,,54215416,24475193
,,10149779,6200756
,,2024854,1056102
,,181360000,27545445
,,18621249,56007
,,17508936,27445
,,9203192,766487
,,11434867,87025093
,,6670712,64267897
,,3273588,104007828
,,2207975,43771291
,,869325,53884821
,,20200,34872293
,,15059,34468224
,,3064356,32453345
,,7009668,27296514
,,50382128,25530884
,,83574831,27689474
,,71897215,24138847
,,56536016,19281235
,,50820940,24809547
,,25799043,23031390
,,21501098,16017403
,,20733485,21197315
,,18656400,17382982
,,13350177,14821531
,,17683670,14343976
,,10572742,14123773
,,8786715,15126948
,,6157157,13269963
,,4328294,17768000
,,4040588,12947763
,,4700361,14100000
,,2221809,12055108
,,830210,27285953
,,65069140,11675178
,,131175,9658370
,,180011740,6755271
,,2601847,6088249
,,1429260,5480318
,,3293258,5308707
,,96793,2711210
,,8108247,1980338
,,2277396,1100000
,,7059537,2445646
,,5844929,296665
,,1007535,3219029
,,100675,1040879
,,2276368,326308
,,3325638,228830
,,114324072,99147
,,71904,65087
,,75727,37440
,,178739,24475416
,,27012,47277326
,,379643,1729969
,,12985267,1705139
,,34522221,81200000
,,4311834,13060843
,,2557668,3798532
,,1098224,3609278
,,371081,727883
,,124494,410241
,,137945,278821
,,13973532,108229
,,1420578,112000000
,,12784397,8691
,,3050934,101055
,,638476,44566004
,,1943649,31252964
,,19067631,31968347
,,53991137,35385560
,,92362,20803237
,,80033643,13008928
,,79363785,25359200
,,2859955,10097096
,,594904,9821335
,,10042266,8243880
,,5355376,7825820
,,5355847,7557877
,,143492840,14637490
,,4946250,17314483
,,798341,6525762
